date,stock
2011-01-01,30
2011-01-02,32
2011-01-03,49
2011-01-04,52
2011-01-05,51
2011-01-06,52
2011-01-07,49
2011-01-08,34
2011-01-09,33
2011-01-10,49
2011-01-11,53
2011-01-12,52
2011-01-13,53
2011-01-14,49
2011-01-15,37
2011-01-16,34
2011-01-17,49
2011-01-18,55
2011-01-19,52
2011-01-20,50
2011-01-21,49
2011-01-22,34
2011-01-23,30
2011-01-24,46
2011-01-25,49
2011-01-26,49
2011-01-27,49
2011-01-28,49
2011-01-29,33
2011-01-30,33
2011-01-31,49
2011-02-01,50
2011-02-02,48
2011-02-03,47
2011-02-04,46
2011-02-05,33
2011-02-06,31
2011-02-07,49
2011-02-08,51
2011-02-09,52
2011-02-10,52
2011-02-11,51
2011-02-12,35
2011-02-13,32
2011-02-14,47
2011-02-15,49
2011-02-16,51
2011-02-17,51
2011-02-18,48
2011-02-19,33
2011-02-20,31
2011-02-21,43
2011-02-22,49
2011-02-23,51
2011-02-24,49
2011-02-25,48
2011-02-26,32
2011-02-27,31
2011-02-28,46
2011-03-01,49
2011-03-02,48
2011-03-03,50
2011-03-04,47
2011-03-05,32
2011-03-06,32
2011-03-07,47
2011-03-08,48
2011-03-09,48
2011-03-10,47
2011-03-11,44
2011-03-12,30
2011-03-13,30
2011-03-14,48
2011-03-15,54
2011-03-16,52
2011-03-17,48
2011-03-18,44
2011-03-19,30
2011-03-20,32
2011-03-21,49
2011-03-22,48
2011-03-23,47
2011-03-24,46
2011-03-25,46
2011-03-26,32
2011-03-27,31
2011-03-28,48
2011-03-29,47
2011-03-30,48
2011-03-31,48
2011-04-01,47
2011-04-02,32
2011-04-03,32
2011-04-04,48
2011-04-05,49
2011-04-06,49
2011-04-07,47
2011-04-08,44
2011-04-09,30
2011-04-10,31
2011-04-11,46
2011-04-12,46
2011-04-13,46
2011-04-14,44
2011-04-15,44
2011-04-16,31
2011-04-17,31
2011-04-18,46
2011-04-19,47
2011-04-20,49
2011-04-21,50
2011-04-22,41
2011-04-23,30
2011-04-24,28
2011-04-25,45
2011-04-26,47
2011-04-27,47
2011-04-28,46
2011-04-29,42
2011-04-30,29
2011-05-01,28
2011-05-02,44
2011-05-03,45
2011-05-04,45
2011-05-05,45
2011-05-06,43
2011-05-07,29
2011-05-08,28
2011-05-09,44
2011-05-10,46
2011-05-11,45
2011-05-12,43
2011-05-13,41
2011-05-14,28
2011-05-15,27
2011-05-16,41
2011-05-17,42
2011-05-18,43
2011-05-19,47
2011-05-20,42
2011-05-21,27
2011-05-22,27
2011-05-23,41
2011-05-24,41
2011-05-25,40
2011-05-26,40
2011-05-27,38
2011-05-28,26
2011-05-29,25
2011-05-30,30
2011-05-31,40
2011-06-01,42
2011-06-02,43
2011-06-03,40
2011-06-04,27
2011-06-05,27
2011-06-06,39
2011-06-07,40
2011-06-08,40
2011-06-09,39
2011-06-10,38
2011-06-11,27
2011-06-12,26
2011-06-13,39
2011-06-14,39
2011-06-15,42
2011-06-16,39
2011-06-17,39
2011-06-18,27
2011-06-19,25
2011-06-20,38
2011-06-21,40
2011-06-22,39
2011-06-23,40
2011-06-24,37
2011-06-25,26
2011-06-26,24
2011-06-27,37
2011-06-28,38
2011-06-29,40
2011-06-30,40
2011-07-01,37
2011-07-02,27
2011-07-03,25
2011-07-04,30
2011-07-05,38
2011-07-06,40
2011-07-07,41
2011-07-08,39
2011-07-09,28
2011-07-10,27
2011-07-11,39
2011-07-12,43
2011-07-13,41
2011-07-14,41
2011-07-15,39
2011-07-16,29
2011-07-17,27
2011-07-18,40
2011-07-19,45
2011-07-20,45
2011-07-21,44
2011-07-22,42
2011-07-23,28
2011-07-24,29
2011-07-25,44
2011-07-26,45
2011-07-27,45
2011-07-28,44
2011-07-29,41
2011-07-30,29
2011-07-31,27
2011-08-01,44
2011-08-02,46
2011-08-03,47
2011-08-04,65
2011-08-05,75
2011-08-06,39
2011-08-07,42
2011-08-08,100
2011-08-09,95
2011-08-10,73
2011-08-11,69
2011-08-12,56
2011-08-13,33
2011-08-14,32
2011-08-15,50
2011-08-16,49
2011-08-17,44
2011-08-18,54
2011-08-19,54
2011-08-20,32
2011-08-21,32
2011-08-22,48
2011-08-23,49
2011-08-24,49
2011-08-25,59
2011-08-26,45
2011-08-27,30
2011-08-28,27
2011-08-29,41
2011-08-30,43
2011-08-31,41
2011-09-01,40
2011-09-02,41
2011-09-03,26
2011-09-04,26
2011-09-05,33
2011-09-06,42
2011-09-07,43
2011-09-08,41
2011-09-09,39
2011-09-10,27
2011-09-11,27
2011-09-12,42
2011-09-13,41
2011-09-14,42
2011-09-15,43
2011-09-16,42
2011-09-17,27
2011-09-18,27
