date,symbol
2014-07-24,79
2014-07-25,75
2014-07-26,67
2014-07-27,66
2014-07-28,78
2014-07-29,81
2014-07-30,81
2014-07-31,79
2014-08-01,74
2014-08-02,66
2014-08-03,67
2014-08-04,77
2014-08-05,81
2014-08-06,82
2014-08-07,81
2014-08-08,76
2014-08-09,66
2014-08-10,69
2014-08-11,79
2014-08-12,79
2014-08-13,82
2014-08-14,83
2014-08-15,77
2014-08-16,66
2014-08-17,69
2014-08-18,78
2014-08-19,83
2014-08-20,81
2014-08-21,85
2014-08-22,79
2014-08-23,65
2014-08-24,70
2014-08-25,79
2014-08-26,85
2014-08-27,88
2014-08-28,87
2014-08-29,80
2014-08-30,69
2014-08-31,68
2014-09-01,74
2014-09-02,87
2014-09-03,93
2014-09-04,91
2014-09-05,89
2014-09-06,71
2014-09-07,78
2014-09-08,92
2014-09-09,99
2014-09-10,99
2014-09-11,98
2014-09-12,89
2014-09-13,71
2014-09-14,79
2014-09-15,96
2014-09-16,99
2014-09-17,99
2014-09-18,97
2014-09-19,96
2014-09-20,69
2014-09-21,77
2014-09-22,92
2014-09-23,97
2014-09-24,95
2014-09-25,96
2014-09-26,89
2014-09-27,69
2014-09-28,78
2014-09-29,94
2014-09-30,96
2014-10-01,98
2014-10-02,93
2014-10-03,86
2014-10-04,68
2014-10-05,72
2014-10-06,92
2014-10-07,97
2014-10-08,96
2014-10-09,95
2014-10-10,84
2014-10-11,70
2014-10-12,74
2014-10-13,90
2014-10-14,94
2014-10-15,98
2014-10-16,95
2014-10-17,87
2014-10-18,70
2014-10-19,78
2014-10-20,92
2014-10-21,95
2014-10-22,96
2014-10-23,93
2014-10-24,87
2014-10-25,70
2014-10-26,76
2014-10-27,89
2014-10-28,96
2014-10-29,97
2014-10-30,100
2014-10-31,93
2014-11-01,65
2014-11-02,74
2014-11-03,90
2014-11-04,92
2014-11-05,96
2014-11-06,95
2014-11-07,89
2014-11-08,68
2014-11-09,78
2014-11-10,98
2014-11-11,95
2014-11-12,98
2014-11-13,97
2014-11-14,87
2014-11-15,69
2014-11-16,76
2014-11-17,93
2014-11-18,96
2014-11-19,97
2014-11-20,94
2014-11-21,88
2014-11-22,68
2014-11-23,74
2014-11-24,89
2014-11-25,88
2014-11-26,82
2014-11-27,73
2014-11-28,69
2014-11-29,68
2014-11-30,74
2014-12-01,87
2014-12-02,94
2014-12-03,95
2014-12-04,93
2014-12-05,89
2014-12-06,67
2014-12-07,74
2014-12-08,94
2014-12-09,95
2014-12-10,93
2014-12-11,93
2014-12-12,86
2014-12-13,65
2014-12-14,73
2014-12-15,86
2014-12-16,89
2014-12-17,85
2014-12-18,85
2014-12-19,76
2014-12-20,61
2014-12-21,62
2014-12-22,70
2014-12-23,71
2014-12-24,67
2014-12-25,62
2014-12-26,63
2014-12-27,61
2014-12-28,63
2014-12-29,69
2014-12-30,73
2014-12-31,71
2015-01-01,63
2015-01-02,71
2015-01-03,69
2015-01-04,71
2015-01-05,81
2015-01-06,89
2015-01-07,88
2015-01-08,91
2015-01-09,83
2015-01-10,69
2015-01-11,75
2015-01-12,89
2015-01-13,88
2015-01-14,92
2015-01-15,91
2015-01-16,83
2015-01-17,68
2015-01-18,73
2015-01-19,84
2015-01-20,92
2015-01-21,91
2015-01-22,96
2015-01-23,88
2015-01-24,70
2015-01-25,76
2015-01-26,88
2015-01-27,92
2015-01-28,96
2015-01-29,94
2015-01-30,88
2015-01-31,70
2015-02-01,73
2015-02-02,89
2015-02-03,94
2015-02-04,94
2015-02-05,97
2015-02-06,89
2015-02-07,68
2015-02-08,75
2015-02-09,92
2015-02-10,96
2015-02-11,97
2015-02-12,95
2015-02-13,88
2015-02-14,69
2015-02-15,69
2015-02-16,83
2015-02-17,87
2015-02-18,92
2015-02-19,90
2015-02-20,86
2015-02-21,71
2015-02-22,75
2015-02-23,89
2015-02-24,92
2015-02-25,97
2015-02-26,93
2015-02-27,86
2015-02-28,67
2015-03-01,75
2015-03-02,91
2015-03-03,94
2015-03-04,93
2015-03-05,93
2015-03-06,87
2015-03-07,67
2015-03-08,74
2015-03-09,91
2015-03-10,94
2015-03-11,95
2015-03-12,94
2015-03-13,91
2015-03-14,78
2015-03-15,76
2015-03-16,91
2015-03-17,94
2015-03-18,92
2015-03-19,89
2015-03-20,84
2015-03-21,68
2015-03-22,74
2015-03-23,91
2015-03-24,92
2015-03-25,92
2015-03-26,91
2015-03-27,84
2015-03-28,65
2015-03-29,69
2015-03-30,87
2015-03-31,91
2015-04-01,88
2015-04-02,85
2015-04-03,74
2015-04-04,65
2015-04-05,68
2015-04-06,82
2015-04-07,88
2015-04-08,91
2015-04-09,89
2015-04-10,86
